imdb_id,imdb_rating,imdb_votes,metascore,omdb_response,omdb_error,url_coletada
tt7510222,6.2,"76,384",52,True,,https://www.omdbapi.com/?i=tt7510222&apikey=***
tt1690953,7.3,"456,712",62,True,,https://www.omdbapi.com/?i=tt1690953&apikey=***
tt3040964,7.3,"304,379",77,True,,https://www.omdbapi.com/?i=tt3040964&apikey=***
tt0114709,8.3,"1,163,069",96,True,,https://www.omdbapi.com/?i=tt0114709&apikey=***
tt0449088,7.2,"743,246",50,True,,https://www.omdbapi.com/?i=tt0449088&apikey=***
tt3566834,5.6,"153,774",45,True,,https://www.omdbapi.com/?i=tt3566834&apikey=***
tt1170358,7.8,"752,978",66,True,,https://www.omdbapi.com/?i=tt1170358&apikey=***
tt2310332,7.4,"617,163",59,True,,https://www.omdbapi.com/?i=tt2310332&apikey=***
tt9419884,6.9,"543,288",60,True,,https://www.omdbapi.com/?i=tt9419884&apikey=***
tt0926084,7.7,"659,115",65,True,,https://www.omdbapi.com/?i=tt0926084&apikey=***
tt15398776,8.2,"1,024,033",90,True,,https://www.omdbapi.com/?i=tt15398776&apikey=***
tt0266543,8.2,"1,196,544",90,True,,https://www.omdbapi.com/?i=tt0266543&apikey=***
tt5113044,6.5,"102,656",56,True,,https://www.omdbapi.com/?i=tt5113044&apikey=***
tt0373889,7.5,"693,356",71,True,,https://www.omdbapi.com/?i=tt0373889&apikey=***
tt0417741,7.6,"653,701",78,True,,https://www.omdbapi.com/?i=tt0417741&apikey=***
tt0298148,7.4,"550,541",75,True,,https://www.omdbapi.com/?i=tt0298148&apikey=***
tt0167261,8.8,"1,954,618",87,True,,https://www.omdbapi.com/?i=tt0167261&apikey=***
tt1727824,7.9,"638,785",49,True,,https://www.omdbapi.com/?i=tt1727824&apikey=***
tt13462900,5.5,"4,690",N/A,True,,https://www.omdbapi.com/?i=tt13462900&apikey=***
tt0330373,7.7,"746,138",81,True,,https://www.omdbapi.com/?i=tt0330373&apikey=***
tt0413300,6.3,"692,051",59,True,,https://www.omdbapi.com/?i=tt0413300&apikey=***
tt1080016,6.9,"283,955",50,True,,https://www.omdbapi.com/?i=tt1080016&apikey=***
tt2250912,7.4,"836,416",73,True,,https://www.omdbapi.com/?i=tt2250912&apikey=***
tt2379713,6.8,"493,010",60,True,,https://www.omdbapi.com/?i=tt2379713&apikey=***
tt1667889,6.5,"240,893",49,True,,https://www.omdbapi.com/?i=tt1667889&apikey=***
tt0295297,7.5,"759,564",63,True,,https://www.omdbapi.com/?i=tt0295297&apikey=***
tt2709768,6.5,"233,985",61,True,,https://www.omdbapi.com/?i=tt2709768&apikey=***
tt2975590,6.4,"790,738",44,True,,https://www.omdbapi.com/?i=tt2975590&apikey=***
tt0120737,8.9,"2,203,785",92,True,,https://www.omdbapi.com/?i=tt0120737&apikey=***
tt7131870,5.9,"9,482",44,True,,https://www.omdbapi.com/?i=tt7131870&apikey=***
tt31036941,5.8,"194,010",50,True,,https://www.omdbapi.com/?i=tt31036941&apikey=***
tt1951264,7.5,"768,630",76,True,,https://www.omdbapi.com/?i=tt1951264&apikey=***
tt3896198,7.6,"828,114",67,True,,https://www.omdbapi.com/?i=tt3896198&apikey=***
tt9114286,6.6,"368,850",67,True,,https://www.omdbapi.com/?i=tt9114286&apikey=***
tt2096673,8.1,"905,131",94,True,,https://www.omdbapi.com/?i=tt2096673&apikey=***
tt1270797,6.6,"601,600",35,True,,https://www.omdbapi.com/?i=tt1270797&apikey=***
tt3501632,7.9,"892,533",74,True,,https://www.omdbapi.com/?i=tt3501632&apikey=***
tt0121766,7.7,"912,634",68,True,,https://www.omdbapi.com/?i=tt0121766&apikey=***
tt6791350,7.9,"470,167",64,True,,https://www.omdbapi.com/?i=tt6791350&apikey=***
tt1375666,8.8,"2,811,614",74,True,,https://www.omdbapi.com/?i=tt1375666&apikey=***
tt1055369,6.0,"451,650",35,True,,https://www.omdbapi.com/?i=tt1055369&apikey=***
tt1673434,5.6,"279,805",52,True,,https://www.omdbapi.com/?i=tt1673434&apikey=***
tt4912910,7.7,"419,025",87,True,,https://www.omdbapi.com/?i=tt4912910&apikey=***
tt0451279,7.3,"732,467",76,True,,https://www.omdbapi.com/?i=tt0451279&apikey=***
tt13364790,6.9,"3,655",N/A,True,,https://www.omdbapi.com/?i=tt13364790&apikey=***
tt0145487,7.4,"958,249",73,True,,https://www.omdbapi.com/?i=tt0145487&apikey=***
tt0116629,7.0,"642,170",59,True,,https://www.omdbapi.com/?i=tt0116629&apikey=***
tt2380307,8.4,"704,092",81,True,,https://www.omdbapi.com/?i=tt2380307&apikey=***
tt3183660,7.2,"537,711",66,True,,https://www.omdbapi.com/?i=tt3183660&apikey=***
tt0413267,6.1,"357,973",58,True,,https://www.omdbapi.com/?i=tt0413267&apikey=***
tt7975244,6.6,"316,072",58,True,,https://www.omdbapi.com/?i=tt7975244&apikey=***
tt0083866,7.9,"468,998",92,True,,https://www.omdbapi.com/?i=tt0083866&apikey=***
tt1790809,6.5,"381,325",39,True,,https://www.omdbapi.com/?i=tt1790809&apikey=***
tt1190080,5.9,"419,441",49,True,,https://www.omdbapi.com/?i=tt1190080&apikey=***
tt0304141,7.9,"761,199",82,True,,https://www.omdbapi.com/?i=tt0304141&apikey=***
tt0316654,7.5,"777,496",83,True,,https://www.omdbapi.com/?i=tt0316654&apikey=***
tt1905041,7.0,"438,036",61,True,,https://www.omdbapi.com/?i=tt1905041&apikey=***
tt0367882,6.2,"511,928",65,True,,https://www.omdbapi.com/?i=tt0367882&apikey=***
tt5463162,7.6,"742,720",66,True,,https://www.omdbapi.com/?i=tt5463162&apikey=***
tt1431045,8.0,"1,250,978",65,True,,https://www.omdbapi.com/?i=tt1431045&apikey=***
tt0076759,8.6,"1,555,851",90,True,,https://www.omdbapi.com/?i=tt0076759&apikey=***
tt2382320,7.3,"481,524",68,True,,https://www.omdbapi.com/?i=tt2382320&apikey=***
tt2015381,8.0,"1,362,435",76,True,,https://www.omdbapi.com/?i=tt2015381&apikey=***
tt1877830,7.8,"923,764",72,True,,https://www.omdbapi.com/?i=tt1877830&apikey=***
tt1262426,7.4,"191,746",73,True,,https://www.omdbapi.com/?i=tt1262426&apikey=***
tt0110357,8.5,"1,248,136",88,True,,https://www.omdbapi.com/?i=tt0110357&apikey=***
tt10648342,6.1,"459,337",57,True,,https://www.omdbapi.com/?i=tt10648342&apikey=***
tt6806448,6.4,"255,155",60,True,,https://www.omdbapi.com/?i=tt6806448&apikey=***
tt0382625,6.6,"480,857",46,True,,https://www.omdbapi.com/?i=tt0382625&apikey=***
tt0948470,6.9,"763,493",66,True,,https://www.omdbapi.com/?i=tt0948470&apikey=***
tt1587310,6.9,"420,347",56,True,,https://www.omdbapi.com/?i=tt1587310&apikey=***
tt1951265,6.6,"541,925",64,True,,https://www.omdbapi.com/?i=tt1951265&apikey=***
tt0892791,6.3,"243,636",58,True,,https://www.omdbapi.com/?i=tt0892791&apikey=***
tt1386697,5.9,"758,745",40,True,,https://www.omdbapi.com/?i=tt1386697&apikey=***
tt1877832,7.9,"786,991",75,True,,https://www.omdbapi.com/?i=tt1877832&apikey=***
tt1277953,6.8,"215,044",60,True,,https://www.omdbapi.com/?i=tt1277953&apikey=***
tt0816692,8.7,"2,516,752",74,True,,https://www.omdbapi.com/?i=tt0816692&apikey=***
tt0363771,6.9,"450,246",75,True,,https://www.omdbapi.com/?i=tt0363771&apikey=***
tt1453405,7.2,"421,121",65,True,,https://www.omdbapi.com/?i=tt1453405&apikey=***
tt10627720,7.3,"21,890",56,True,,https://www.omdbapi.com/?i=tt10627720&apikey=***
tt0234215,7.2,"666,077",62,True,,https://www.omdbapi.com/?i=tt0234215&apikey=***
tt1049413,8.3,"1,225,827",88,True,,https://www.omdbapi.com/?i=tt1049413&apikey=***
tt32820897,8.4,"64,082",67,True,,https://www.omdbapi.com/?i=tt32820897&apikey=***
tt5433138,5.2,"179,684",58,True,,https://www.omdbapi.com/?i=tt5433138&apikey=***
tt1454468,7.7,"895,643",96,True,,https://www.omdbapi.com/?i=tt1454468&apikey=***
tt13186482,6.6,"80,914",56,True,,https://www.omdbapi.com/?i=tt13186482&apikey=***
tt1396484,7.3,"694,027",69,True,,https://www.omdbapi.com/?i=tt1396484&apikey=***
tt1872181,6.6,"588,917",53,True,,https://www.omdbapi.com/?i=tt1872181&apikey=***
tt15239678,8.4,"734,902",79,True,,https://www.omdbapi.com/?i=tt15239678&apikey=***
tt1843866,7.7,"970,692",70,True,,https://www.omdbapi.com/?i=tt1843866&apikey=***
tt1324999,4.9,"271,400",45,True,,https://www.omdbapi.com/?i=tt1324999&apikey=***
tt2103281,7.6,"508,717",79,True,,https://www.omdbapi.com/?i=tt2103281&apikey=***
tt1259571,4.8,"320,139",44,True,,https://www.omdbapi.com/?i=tt1259571&apikey=***
tt0418279,7.1,"714,583",61,True,,https://www.omdbapi.com/?i=tt0418279&apikey=***
tt5433140,5.7,"145,538",56,True,,https://www.omdbapi.com/?i=tt5433140&apikey=***
tt1325004,5.1,"279,535",58,True,,https://www.omdbapi.com/?i=tt1325004&apikey=***
tt1229238,7.4,"567,136",73,True,,https://www.omdbapi.com/?i=tt1229238&apikey=***
tt1392170,7.2,"1,074,757",68,True,,https://www.omdbapi.com/?i=tt1392170&apikey=***
tt33612209,6.4,"87,496",63,True,,https://www.omdbapi.com/?i=tt33612209&apikey=***
tt9362722,8.5,"509,515",86,True,,https://www.omdbapi.com/?i=tt9362722&apikey=***
tt3521164,7.6,"436,011",81,True,,https://www.omdbapi.com/?i=tt3521164&apikey=***
tt10370822,5.6,"3,028",N/A,True,,https://www.omdbapi.com/?i=tt10370822&apikey=***
tt12042730,8.2,"433,769",77,True,,https://www.omdbapi.com/?i=tt12042730&apikey=***
tt2381249,7.4,"445,302",75,True,,https://www.omdbapi.com/?i=tt2381249&apikey=***
tt0109830,8.8,"2,493,306",82,True,,https://www.omdbapi.com/?i=tt0109830&apikey=***
tt1211837,7.5,"877,590",72,True,,https://www.omdbapi.com/?i=tt1211837&apikey=***
tt21148018,6.4,"3,918",75,True,,https://www.omdbapi.com/?i=tt21148018&apikey=***
tt0167404,8.2,"1,136,530",64,True,,https://www.omdbapi.com/?i=tt0167404&apikey=***
tt32536035,N/A,8,N/A,True,,https://www.omdbapi.com/?i=tt32536035&apikey=***
tt0770828,7.1,"865,769",55,True,,https://www.omdbapi.com/?i=tt0770828&apikey=***
tt1302011,7.3,"349,971",67,True,,https://www.omdbapi.com/?i=tt1302011&apikey=***
tt13539646,6.7,"16,204",56,True,,https://www.omdbapi.com/?i=tt13539646&apikey=***
tt0974015,6.0,"502,540",45,True,,https://www.omdbapi.com/?i=tt0974015&apikey=***
tt0438097,6.8,"316,256",59,True,,https://www.omdbapi.com/?i=tt0438097&apikey=***
tt2245084,7.8,"548,572",74,True,,https://www.omdbapi.com/?i=tt2245084&apikey=***
tt38035835,N/A,112,N/A,True,,https://www.omdbapi.com/?i=tt38035835&apikey=***
tt0325980,8.1,"1,323,403",63,True,,https://www.omdbapi.com/?i=tt0325980&apikey=***
tt4123430,6.5,"329,657",52,True,,https://www.omdbapi.com/?i=tt4123430&apikey=***
tt1409024,6.8,"409,954",58,True,,https://www.omdbapi.com/?i=tt1409024&apikey=***
tt1951266,6.6,"410,756",65,True,,https://www.omdbapi.com/?i=tt1951266&apikey=***
tt0121765,6.6,"815,170",54,True,,https://www.omdbapi.com/?i=tt0121765&apikey=***
tt1981115,6.7,"776,160",54,True,,https://www.omdbapi.com/?i=tt1981115&apikey=***
tt26743210,7.7,"131,570",61,True,,https://www.omdbapi.com/?i=tt26743210&apikey=***
tt6166392,6.9,"188,015",66,True,,https://www.omdbapi.com/?i=tt6166392&apikey=***
tt3470600,7.1,"210,521",59,True,,https://www.omdbapi.com/?i=tt3470600&apikey=***
tt16311594,7.6,"353,753",68,True,,https://www.omdbapi.com/?i=tt16311594&apikey=***
tt0441773,7.6,"574,537",74,True,,https://www.omdbapi.com/?i=tt0441773&apikey=***
tt0317705,8.0,"891,503",90,True,,https://www.omdbapi.com/?i=tt0317705&apikey=***
tt3659388,8.0,"999,128",80,True,,https://www.omdbapi.com/?i=tt3659388&apikey=***
tt0448157,6.4,"534,419",49,True,,https://www.omdbapi.com/?i=tt0448157&apikey=***
tt16194408,5.6,"1,718",N/A,True,,https://www.omdbapi.com/?i=tt16194408&apikey=***
tt1596343,7.3,"430,221",66,True,,https://www.omdbapi.com/?i=tt1596343&apikey=***
tt1228705,6.9,"936,571",57,True,,https://www.omdbapi.com/?i=tt1228705&apikey=***
tt0382932,8.1,"940,588",96,True,,https://www.omdbapi.com/?i=tt0382932&apikey=***
tt5095030,7.0,"493,940",70,True,,https://www.omdbapi.com/?i=tt5095030&apikey=***
tt1646971,7.8,"398,152",77,True,,https://www.omdbapi.com/?i=tt1646971&apikey=***
tt3315342,8.1,"917,281",77,True,,https://www.omdbapi.com/?i=tt3315342&apikey=***
tt5950044,7.0,"436,184",68,True,,https://www.omdbapi.com/?i=tt5950044&apikey=***
tt0119567,6.6,"473,902",59,True,,https://www.omdbapi.com/?i=tt0119567&apikey=***
tt0335345,7.3,"273,731",47,True,,https://www.omdbapi.com/?i=tt0335345&apikey=***
tt0795421,6.5,"301,873",51,True,,https://www.omdbapi.com/?i=tt0795421&apikey=***
tt0454876,7.9,"697,056",79,True,,https://www.omdbapi.com/?i=tt0454876&apikey=***
tt1677720,7.4,"540,503",64,True,,https://www.omdbapi.com/?i=tt1677720&apikey=***
tt3371366,5.2,"184,025",27,True,,https://www.omdbapi.com/?i=tt3371366&apikey=***
tt0479952,6.7,"268,534",61,True,,https://www.omdbapi.com/?i=tt0479952&apikey=***
tt0407304,6.6,"502,091",73,True,,https://www.omdbapi.com/?i=tt0407304&apikey=***
tt0381061,8.0,"739,664",80,True,,https://www.omdbapi.com/?i=tt0381061&apikey=***
tt9603208,7.1,"226,897",67,True,,https://www.omdbapi.com/?i=tt9603208&apikey=***
tt0398286,7.7,"540,207",71,True,,https://www.omdbapi.com/?i=tt0398286&apikey=***
tt0830515,6.5,"494,408",58,True,,https://www.omdbapi.com/?i=tt0830515&apikey=***
tt0119654,7.3,"658,335",72,True,,https://www.omdbapi.com/?i=tt0119654&apikey=***
tt0481499,7.1,"249,657",55,True,,https://www.omdbapi.com/?i=tt0481499&apikey=***
tt1411697,6.5,"572,504",44,True,,https://www.omdbapi.com/?i=tt1411697&apikey=***
tt0480249,7.2,"870,487",65,True,,https://www.omdbapi.com/?i=tt0480249&apikey=***
tt0371746,7.9,"1,223,183",79,True,,https://www.omdbapi.com/?i=tt0371746&apikey=***
tt0198781,8.1,"1,072,549",79,True,,https://www.omdbapi.com/?i=tt0198781&apikey=***
tt6878882,6.6,"8,539",N/A,True,,https://www.omdbapi.com/?i=tt6878882&apikey=***
tt0477347,6.5,"404,946",48,True,,https://www.omdbapi.com/?i=tt0477347&apikey=***
tt0086190,8.3,"1,200,333",58,True,,https://www.omdbapi.com/?i=tt0086190&apikey=***
tt14539740,6.0,"138,639",47,True,,https://www.omdbapi.com/?i=tt14539740&apikey=***
tt9603212,7.6,"326,383",81,True,,https://www.omdbapi.com/?i=tt9603212&apikey=***
tt2322441,4.2,"354,203",46,True,,https://www.omdbapi.com/?i=tt2322441&apikey=***
tt5971474,7.2,"177,541",59,True,,https://www.omdbapi.com/?i=tt5971474&apikey=***
tt3731562,6.7,"378,708",62,True,,https://www.omdbapi.com/?i=tt3731562&apikey=***
tt0472181,5.4,"102,729",30,True,,https://www.omdbapi.com/?i=tt0472181&apikey=***
tt0360717,7.2,"465,049",81,True,,https://www.omdbapi.com/?i=tt0360717&apikey=***
tt1216475,6.2,"251,842",57,True,,https://www.omdbapi.com/?i=tt1216475&apikey=***
tt0448694,6.6,"208,940",65,True,,https://www.omdbapi.com/?i=tt0448694&apikey=***
tt4701660,6.2,"10,877",69,True,,https://www.omdbapi.com/?i=tt4701660&apikey=***
tt0120591,6.7,"476,912",42,True,,https://www.omdbapi.com/?i=tt0120591&apikey=***
tt2709692,6.4,"111,173",51,True,,https://www.omdbapi.com/?i=tt2709692&apikey=***
tt0319262,6.5,"509,136",47,True,,https://www.omdbapi.com/?i=tt0319262&apikey=***
tt1637725,6.9,"704,925",62,True,,https://www.omdbapi.com/?i=tt1637725&apikey=***
tt5013056,7.8,"800,591",94,True,,https://www.omdbapi.com/?i=tt5013056&apikey=***
tt21692408,6.3,"78,494",54,True,,https://www.omdbapi.com/?i=tt21692408&apikey=***
tt0120755,6.1,"413,413",59,True,,https://www.omdbapi.com/?i=tt0120755&apikey=***
tt7752454,6.1,"3,592",48,True,,https://www.omdbapi.com/?i=tt7752454&apikey=***
tt3385516,6.8,"491,572",52,True,,https://www.omdbapi.com/?i=tt3385516&apikey=***
tt1661199,6.9,"204,139",67,True,,https://www.omdbapi.com/?i=tt1661199&apikey=***
tt1323594,7.6,"628,264",72,True,,https://www.omdbapi.com/?i=tt1323594&apikey=***
tt2179136,7.3,"568,760",73,True,,https://www.omdbapi.com/?i=tt2179136&apikey=***
tt0351283,6.9,"473,809",57,True,,https://www.omdbapi.com/?i=tt0351283&apikey=***
tt19847976,6.6,"64,326",58,True,,https://www.omdbapi.com/?i=tt19847976&apikey=***
tt2386490,7.4,"175,859",71,True,,https://www.omdbapi.com/?i=tt2386490&apikey=***
tt1217209,7.1,"475,578",69,True,,https://www.omdbapi.com/?i=tt1217209&apikey=***
tt0080684,8.7,"1,495,152",82,True,,https://www.omdbapi.com/?i=tt0080684&apikey=***
tt1663202,8.0,"947,792",76,True,,https://www.omdbapi.com/?i=tt1663202&apikey=***
tt0816711,7.0,"778,104",63,True,,https://www.omdbapi.com/?i=tt0816711&apikey=***
tt4779682,5.7,"226,090",46,True,,https://www.omdbapi.com/?i=tt4779682&apikey=***
tt5848272,7.0,"202,975",71,True,,https://www.omdbapi.com/?i=tt5848272&apikey=***
tt5220122,6.3,"97,963",54,True,,https://www.omdbapi.com/?i=tt5220122&apikey=***
tt3874544,6.3,"156,460",50,True,,https://www.omdbapi.com/?i=tt3874544&apikey=***
tt0462538,7.3,"362,148",80,True,,https://www.omdbapi.com/?i=tt0462538&apikey=***
tt0831387,6.4,"468,177",62,True,,https://www.omdbapi.com/?i=tt0831387&apikey=***
tt0988045,7.5,"702,387",57,True,,https://www.omdbapi.com/?i=tt0988045&apikey=***
tt11032374,8.2,"98,764",72,True,,https://www.omdbapi.com/?i=tt11032374&apikey=***
tt10676052,6.8,"258,601",65,True,,https://www.omdbapi.com/?i=tt10676052&apikey=***
tt0910970,8.4,"1,306,354",95,True,,https://www.omdbapi.com/?i=tt0910970&apikey=***
tt2267968,7.1,"215,526",66,True,,https://www.omdbapi.com/?i=tt2267968&apikey=***
tt0478970,7.2,"778,683",64,True,,https://www.omdbapi.com/?i=tt0478970&apikey=***
tt0103064,8.6,"1,282,391",75,True,,https://www.omdbapi.com/?i=tt0103064&apikey=***
tt0290002,6.4,"299,051",41,True,,https://www.omdbapi.com/?i=tt0290002&apikey=***
tt37287335,7.9,"291,494",77,True,,https://www.omdbapi.com/?i=tt37287335&apikey=***
tt3783958,8.0,"759,966",94,True,,https://www.omdbapi.com/?i=tt3783958&apikey=***
tt7097896,5.9,"311,188",49,True,,https://www.omdbapi.com/?i=tt7097896&apikey=***
tt32890033,6.3,"31,007",70,True,,https://www.omdbapi.com/?i=tt32890033&apikey=***
tt0099653,7.1,"251,803",52,True,,https://www.omdbapi.com/?i=tt0099653&apikey=***
tt0103639,8.0,"497,512",86,True,,https://www.omdbapi.com/?i=tt0103639&apikey=***
tt34463310,6.0,"1,748",N/A,True,,https://www.omdbapi.com/?i=tt34463310&apikey=***
tt22898462,6.2,"98,159",54,True,,https://www.omdbapi.com/?i=tt22898462&apikey=***
tt2357291,6.3,"109,310",49,True,,https://www.omdbapi.com/?i=tt2357291&apikey=***
tt0332452,7.3,"609,875",56,True,,https://www.omdbapi.com/?i=tt0332452&apikey=***
tt0120363,7.9,"663,076",88,True,,https://www.omdbapi.com/?i=tt0120363&apikey=***
tt15789038,7.0,"163,663",58,True,,https://www.omdbapi.com/?i=tt15789038&apikey=***
tt0892769,8.1,"882,954",75,True,,https://www.omdbapi.com/?i=tt0892769&apikey=***
tt0117998,6.6,"249,196",68,True,,https://www.omdbapi.com/?i=tt0117998&apikey=***
tt0800320,5.8,"303,998",39,True,,https://www.omdbapi.com/?i=tt0800320&apikey=***
tt18259086,6.9,"79,715",56,True,,https://www.omdbapi.com/?i=tt18259086&apikey=***
tt1623205,6.3,"220,679",44,True,,https://www.omdbapi.com/?i=tt1623205&apikey=***
tt4777008,6.6,"130,828",43,True,,https://www.omdbapi.com/?i=tt4777008&apikey=***
tt3450958,7.4,"324,617",82,True,,https://www.omdbapi.com/?i=tt3450958&apikey=***
tt0126029,7.9,"803,764",84,True,,https://www.omdbapi.com/?i=tt0126029&apikey=***
tt0356910,6.5,"588,762",55,True,,https://www.omdbapi.com/?i=tt0356910&apikey=***
tt0808151,6.7,"324,063",48,True,,https://www.omdbapi.com/?i=tt0808151&apikey=***
tt1291150,5.8,"229,104",31,True,,https://www.omdbapi.com/?i=tt1291150&apikey=***
tt3915174,7.8,"218,530",73,True,,https://www.omdbapi.com/?i=tt3915174&apikey=***
